iter	Passed	Remaining
0	209	209737
1	226	113060
2	245	81427
3	263	65668
4	284	56641
5	301	49918
6	317	45108
7	335	41568
8	352	38764
9	373	36975
10	392	35245
11	409	33748
12	429	32588
13	447	31492
14	466	30614
15	484	29797
16	501	29007
17	520	28382
18	539	27842
19	559	27400
20	577	26936
21	596	26504
22	616	26182
23	640	26050
24	658	25674
25	675	25313
26	692	24970
27	711	24714
28	728	24387
29	746	24120
30	763	23862
31	784	23720
32	803	23536
33	819	23294
34	835	23047
35	852	22819
36	874	22753
37	914	23143
38	952	23469
39	984	23627
40	1008	23586
41	1027	23430
42	1044	23239
43	1061	23066
44	1078	22897
45	1096	22734
46	1117	22662
47	1136	22538
48	1154	22407
49	1176	22353
50	1194	22220
51	1212	22101
52	1229	21962
53	1245	21822
54	1262	21693
55	1280	21591
56	1297	21472
57	1315	21358
58	1331	21242
59	1350	21165
60	1368	21062
61	1384	20952
62	1403	20871
63	1421	20795
64	1440	20721
65	1463	20705
66	1482	20637
67	1500	20560
68	1520	20519
69	1539	20453
70	1557	20380
71	1577	20333
72	1595	20262
73	1614	20207
74	1632	20133
75	1650	20063
76	1667	19987
77	1684	19915
78	1702	19848
79	1718	19767
80	1736	19702
81	1754	19636
82	1770	19565
83	1787	19495
84	1809	19479
85	1826	19416
86	1845	19363
87	1864	19326
88	1882	19269
89	1902	19236
90	1918	19167
91	1935	19098
92	1954	19061
93	1974	19029
94	1994	19004
95	2015	18977
96	2031	18912
97	2049	18861
98	2067	18818
99	2087	18785
100	2104	18736
101	2121	18675
102	2139	18629
103	2159	18602
104	2175	18545
105	2193	18498
106	2212	18465
107	2228	18407
108	2245	18356
109	2265	18326
110	2282	18277
111	2299	18234
112	2319	18210
113	2343	18213
114	2368	18226
115	2386	18187
116	2402	18134
117	2419	18085
118	2437	18044
119	2458	18028
120	2475	17985
121	2492	17939
122	2512	17917
123	2530	17878
124	2548	17836
125	2565	17793
126	2589	17800
127	2608	17769
128	2624	17720
129	2640	17671
130	2661	17653
131	2680	17624
132	2695	17573
133	2712	17528
134	2727	17478
135	2743	17429
136	2759	17384
137	2777	17350
138	2793	17304
139	2810	17264
140	2828	17233
141	2845	17190
142	2862	17156
143	2885	17151
144	2903	17119
145	2920	17084
146	2939	17059
147	2956	17017
148	2972	16977
149	2992	16955
150	3015	16957
151	3033	16924
152	3055	16916
153	3074	16890
154	3098	16890
155	3118	16872
156	3136	16840
157	3156	16821
158	3172	16781
159	3188	16741
160	3207	16713
161	3230	16709
162	3245	16667
163	3261	16627
164	3279	16595
165	3298	16570
166	3314	16533
167	3335	16519
168	3353	16489
169	3369	16448
170	3384	16408
171	3400	16371
172	3418	16341
173	3441	16336
174	3459	16307
175	3477	16279
176	3493	16244
177	3515	16232
178	3532	16201
179	3549	16170
180	3566	16137
181	3584	16108
182	3605	16095
183	3622	16064
184	3640	16035
185	3656	16002
186	3674	15974
187	3694	15955
188	3713	15933
189	3731	15908
190	3750	15886
191	3767	15855
192	3785	15827
193	3802	15799
194	3821	15776
